Dates;S&P500 COMPOSITE;S&P500 ES ENERGY;S&P500 ES HEALTH CARE;S&P500 ES REAL ESTATE;S&P500 ES INFO TECHNOLOGY;S&P500 ES FINANCIALS;S&P500 TRANSPORTATION;S&P500 PHARMACEUTICALS;S&P500 TELECOM SERV;S&P500 HOTELS REST & LEISURE IN;S&P500 FOOD RETAIL;S&P500 FOOD DISTRIBUTORS
18.10.2022;1,142756155;0,753563829;0,566096932;1,270029133;0,83127451;1,644063944;1,328915365;0,364442522;0,906642729;1,333512931;2,494856807;1,878737065
17.10.2022;2,648008551;1,222711667;1,736807411;3,892173091;3,090550892;2,576258014;1,944085094;1,432583037;2,080087968;2,586306165;-2,434128779;2,495505377
14.10.2022;-2,366270562;-3,705320941;-0,833298928;-2,593513912;-2,869854655;-1,776683651;-0,866839243;-0,445551042;-0,592093277;-1,801693139;-7,320025985;-0,980798298
13.10.2022;2,596567543;4,077127832;2,256559644;1,838994183;3,116462167;4,139671688;2,236196766;2,010761193;1,997584317;2,430003243;1,149905917;2,139655094
12.10.2022;-0,32907569;0,748928934;-0,529830062;-1,387860844;-0,341566718;-0,273505629;0,290991441;-0,315376842;-1,437728938;1,372179127;0,788705259;-0,74798815
11.10.2022;-0,651922965;-0,753026713;0,584317756;1,018786803;-1,517568814;-1,296973728;-0,390516039;1,050328228;-1,060070671;-0,711904188;3,206263398;0,905946491
10.10.2022;-0,749245809;-2,059954859;-0,647679266;-1,191355744;-1,559188616;-0,480862828;-0,191253193;-0,09529148;-0,379095586;-0,784201841;2,932523185;0,845460845
07.10.2022;-2,800358925;-0,722716657;-2,12023085;-2,489981539;-4,136264075;-2,336724023;-2,567519755;-1,260806518;-2,284353501;-1,596479247;-1,648109706;-1,473684211
06.10.2022;-1,024507834;1,820401999;-1,300728408;-3,199232881;-0,852483488;-1,453973131;-1,046833242;-1,41215501;-3,325375171;-1,432257582;-1,97323796;-2,954168967
05.10.2022;-0,201797448;2,057916831;0,330834;-1,902685138;0,358731849;-0,863734304;-1,134187147;-0,081781306;-1,162986685;0,118310408;-0,224567016;0,667037243
04.10.2022;3,058370011;4,344255283;2,328840297;1,620682164;3,301620745;3,790244843;3,633819995;1,532261636;1,766723842;3,838737268;2,171863213;4,036548693
03.10.2022;2,588394755;5,771318952;2,134820315;1,863326547;3,147342356;2,837090347;2,273394316;0,37896047;3,460514641;1,557996478;0;1,951535876
30.09.2022;-1,506673589;-0,903873745;-1,403472004;0,992311818;-1,944283364;-1,096121417;-2,253248383;-1,056694229;-1,261608551;-2,432315824;-2,080512126;-1,077814975
29.09.2022;-2,112641972;-0,132535731;-0,919202896;-2,87401233;-2,742445779;-1,235572081;-1,178902605;-0,857943334;-1,696666954;-1,684618764;-1,694299891;-3,090557634
28.09.2022;1,967214014;4,403597674;2,196395224;1,875276426;0,920869968;1,906453523;2,080067527;2,320107974;1,299947653;2,175578723;2,620466965;1,068229595
27.09.2022;-0,212035983;1,163362591;-0,214580157;-1,283618582;0,219360284;-0,297121269;0,291453519;0,116140128;0,104803493;-0,706238569;-1,579831933;-0,868678861
26.09.2022;-1,034054202;-2,57459317;-1,008280055;-2,627327608;-0,667508154;-1,68688217;-1,668410788;-0,796534686;-1,446032019;-0,278184368;0,312662845;-1,735036838
23.09.2022;-1,723261637;-6,748814188;-0,53653214;-1,300772071;-1,351959319;-1,5615181;-2,45000232;-0,331250138;-1,391953828;-1,406865078;-1,405343327;-3,179785572
22.09.2022;-0,842759629;-0,398829188;0,514844569;-0,943513862;-0,98408013;-1,664731658;-2,08763999;2,3460278;0,178556245;-3,428675666;0,507274992;-1,363617039
21.09.2022;-1,71164933;-1,464015247;-1,686068473;-1,571001923;-1,602776966;-2,108080364;-1,440741529;-1,384121607;-2,28481223;-3,213276836;-3,516895753;-1,357684283
20.09.2022;-1,12721128;-0,643507114;-1,1580941;-2,570950255;-0,505713505;-1,454197301;-2,011781095;-1,090155532;-1,303813038;-0,602282778;-1,115747986;-0,326035843
19.09.2022;0,685714876;0,077146259;-0,542149966;-0,214780049;0,8189659;1,116063274;1,795544637;-1,095654449;0,14781966;0,93811555;0,357734927;2,046365808
16.09.2022;-0,718212926;-2,165816201;-0,270677907;0,031829394;-0,476485149;-0,967782783;-4,850191245;0,527152173;0;-1,448243115;-1,252189896;-1,845319712
15.09.2022;-1,131776149;-2,537819426;0,545663801;-2,240373396;-2,372506883;0,313929012;-1,223684487;0,092144667;-0,425218742;-0,087906568;-2,166338859;0,314997008
14.09.2022;0,338699465;2,848590507;0,006770481;-1,388462719;0,438180187;-0,247986243;-1,16482901;0,78495539;-0,032698439;2,066480574;-0,871793443;-1,549546197
13.09.2022;-4,323656278;-2,451467993;-3,273127349;-3,839486593;-5,346652445;-3,766091243;-3,674802921;-2,690636027;-3,357560436;-3,076816896;-2,312736375;-4,25013857
12.09.2022;1,058426104;1,81479606;0,644608489;0,855559275;1,63484671;0,867991496;0,950123556;0,374709789;1,126468004;0,94613048;-2,697765541;0,417445235
09.09.2022;1,527140568;2,381470023;0,829390186;0,934895247;1,97366463;0,848779105;1,482133535;0,831872475;1,599025974;1,03049244;7,404458599;1,023164279
08.09.2022;0,661076869;0,495798319;1,773419006;0,206930283;0,338304807;1,741544674;0,29669021;0,990763141;0,02435658;1,241395037;-2,931272426;0,168971587
07.09.2022;1,834097114;-1,154580945;1,668225327;1,921159598;1,592337364;2,02324897;0,731119637;0,869603798;0,703131387;2,867740848;2,678191866;3,070607383
06.09.2022;-0,409503957;-1,082919775;0,020633589;1,014874496;-0,678843083;-0,287941311;0,368463662;0,472518165;-1,00364225;0,020529966;0,187398847;-0,432484879
05.09.2022;0;0;0;0;0;0;0;0;0;0;0;0
02.09.2022;-1,073647857;1,810212139;-1,435815391;-1,675807434;-1,290451424;-0,829377421;-0,817376982;-1,62690756;-1,443841736;-0,831818512;-0,370579915;-1,307988509
01.09.2022;0,299620733;-2,301405688;1,651092919;0,351628191;-0,477012078;0,363258004;0,502824508;2,473768171;-0,05580802;0,69703759;1,396896423;-0,449249054
31.08.2022;-0,781704698;-0,939119171;-0,630662092;-0,346600647;-0,962432466;-0,879351523;-0,650652194;-1,07467132;-1,49992147;-0,181981626;0,90593343;-0,460303841
30.08.2022;-1,102810741;-3,364105774;-0,659832525;-1,452593649;-1,078823734;-0,423400537;-1,931393204;-0,5833674;-0,725033133;-1,150845254;-1,637010676;-0,57807529
29.08.2022;-0,666640379;1,544377006;-0,70516241;-0,870665278;-1,276508722;-0,759905593;-0,50548106;-1,881944821;0,054602184;-0,385016732;-0,164852343;-0,657028913
26.08.2022;-3,368801082;-1,070434933;-2,796908956;-2,538439223;-4,279892102;-3,034085787;-3,532382593;-1,831513526;-1,498271226;-3,446478824;-1,904310489;-3,195606644
25.08.2022;1,4091582;0,761823308;1,101884488;1,557838913;1,676246736;1,51717826;1,062862395;0,723542464;0,618477;1,458624142;-0,686714294;0,395337345
24.08.2022;0,291615097;1,198910082;0,117628295;0,712139757;0,039822234;0,520151445;0,055765355;-0,190437471;0,216936546;0,848186672;0,121985029;0,903411257
23.08.2022;-0,223780144;3,62066102;-1,389953799;-1,454731533;-0,253421991;-0,377185561;0,134212408;-1,553547354;-0,905950096;-0,042639984;-1,037093942;0,482375133
