"Event ID";Window;"CAR value";"BHAR value";"CAR t-value";"CAR p-value";"Permutation Test p-value"
1;"(-50, 50)";-0.6281;-0.4987;-4.4963;0;
2;"(-50, 50)";-0.0897;-0.1185;-0.8837;0.3777;
3;"(-50, 50)";-0.2872;-0.312;-3.1404;0.0019;
4;"(-50, 50)";-0.1551;-0.2104;-1.1024;0.2714;
5;"(-50, 50)";-0.3956;-0.3891;-3.4835;0.0006;
6;"(-50, 50)";-0.3744;-0.3615;-2.7596;0.0062;
7;"(-50, 50)";-0.0293;-0.0539;-0.2915;0.7709;
8;"(-50, 50)";-0.2546;-0.2608;-2.4359;0.0156;
9;"(-50, 50)";-0.4299;-0.4175;-4.6496;5.4089E-6;
10;"(-50, 50)";0.124;0.099;0.6634;0.5077;
11;"(-50, 50)";-0.6062;-0.5758;-5.5851;6.1249E-8;
