S&P 500 COMPOSITE;23.03.2018;-2.09;0.21;-0.23;0.005
S&P 500 COMPOSITE;26.03.2018;2.67;-0.68;0.03;0.005
S&P 500 COMPOSITE;27.03.2018;-1.87;-0.21;0.37;0.005
S&P 500 COMPOSITE;28.03.2018;-0.35;0.13;0.64;0.005
S&P 500 COMPOSITE;29.03.2018;1.41;-0.31;-0.22;0.005
S&P 500 COMPOSITE;02.04.2018;-2.29;-0.14;0.37;0.007
S&P 500 COMPOSITE;03.04.2018;1.24;-0.03;0.19;0.007
S&P 500 COMPOSITE;04.04.2018;1.17;0.33;-0.31;0.007
S&P 500 COMPOSITE;05.04.2018;0.75;0.03;0.47;0.007
S&P 500 COMPOSITE;06.04.2018;-2.19;0.39;-0.06;0.007
S&P 500 COMPOSITE;09.04.2018;0.3;-0.15;-0.52;0.007
S&P 500 COMPOSITE;10.04.2018;1.77;0.4;-0.12;0.007
S&P 500 COMPOSITE;11.04.2018;-0.49;0.92;-0.31;0.007
S&P 500 COMPOSITE;12.04.2018;0.84;-0.23;0.18;0.007
S&P 500 COMPOSITE;13.04.2018;-0.37;0.03;-0.25;0.007
S&P 500 COMPOSITE;16.04.2018;0.82;0.08;-0.02;0.007
S&P 500 COMPOSITE;17.04.2018;1.09;0.16;-1.18;0.007
S&P 500 COMPOSITE;18.04.2018;0.13;0.21;0.02;0.007
S&P 500 COMPOSITE;19.04.2018;-0.49;-0.47;1.08;0.007
S&P 500 COMPOSITE;20.04.2018;-0.81;0.06;0.58;0.007
S&P 500 COMPOSITE;23.04.2018;-0.05;-0.07;0.19;0.007
S&P 500 COMPOSITE;24.04.2018;-1.3;0.53;1.02;0.007
S&P 500 COMPOSITE;25.04.2018;0.1;-0.34;0.06;0.007
S&P 500 COMPOSITE;26.04.2018;0.96;-0.38;-0.84;0.007
S&P 500 COMPOSITE;27.04.2018;0.01;-0.26;0.04;0.007
S&P 500 COMPOSITE;30.04.2018;-0.8;0.03;-0.09;0.007
S&P 500 COMPOSITE;01.05.2018;0.24;0.23;-0.53;0.006
S&P 500 COMPOSITE;02.05.2018;-0.63;1.28;-0.36;0.006
S&P 500 COMPOSITE;03.05.2018;-0.25;-0.52;-0.15;0.006
S&P 500 COMPOSITE;04.05.2018;1.3;0.02;-0.2;0.006
S&P 500 COMPOSITE;07.05.2018;0.42;0.42;-0.33;0.006
S&P 500 COMPOSITE;08.05.2018;0.07;0.5;0.24;0.006
S&P 500 COMPOSITE;09.05.2018;0.89;-0.23;0.25;0.006
S&P 500 COMPOSITE;10.05.2018;0.85;-0.43;-0.04;0.006
S&P 500 COMPOSITE;11.05.2018;0.19;0.12;-0.38;0.006
S&P 500 COMPOSITE;14.05.2018;0.05;-0.36;0.11;0.006
S&P 500 COMPOSITE;15.05.2018;-0.55;0.67;0.4;0.006
S&P 500 COMPOSITE;16.05.2018;0.5;0.71;-0.25;0.006
S&P 500 COMPOSITE;17.05.2018;0.02;0.9;0.29;0.006
S&P 500 COMPOSITE;18.05.2018;-0.23;0.57;-0.61;0.006
S&P 500 COMPOSITE;21.05.2018;0.72;-0.19;0.44;0.006
S&P 500 COMPOSITE;22.05.2018;-0.42;-0.76;0.61;0.006
S&P 500 COMPOSITE;23.05.2018;0.29;0.05;-0.7;0.006
S&P 500 COMPOSITE;24.05.2018;-0.16;0.37;-0.35;0.006
S&P 500 COMPOSITE;25.05.2018;-0.21;0.25;-0.39;0.006
S&P 500 COMPOSITE;29.05.2018;-1.04;1.32;-1.03;0.006
S&P 500 COMPOSITE;30.05.2018;1.31;0.04;0.37;0.006
