Sub-Sample;"Day Relative to Event";-30;-29;-28;-27;-26;-25;-24;-23;-22;-21;-20;-19;-18;-17;-16;-15;-14;-13;-12;-11;-10;-9;-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Addition;"Csect T P-Values";0.5993;0.003;0.497;0.2912;0.5818;0.0172;0.4726;0.0056;0.9595;0.4692;0.037;0;0.7933;0.8999;0;0.4465;0.0938;0.078;0.555;0.0097;0.686;0.002;0.3228;0.1341;0.2209;0.4507;0.8812;0.7839;0.0089;0.1207;0.2667;0.2422;0.3274;0;0.0059;0.0075;0.0908;0.4011;0.0001;0.5039;0.0171;0.0052;0.5067;0.0396;0.1599;0.2294;0.0272;0.2263;0.3598;0.8452;0.7;0.7204;0.2963;0.0001;1.5819E-6;0.0055;1.4227E-6;0.0138;3.5563E-6;0;4.4887E-7
Addition;"StdCSect T";-0.2105;4.5942;-1.1285;-1.1833;0.2842;2.4974;-0.6781;3.5077;-0.4271;-0.4237;2.597;6.6819;-0.4345;-0.2968;6.7057;-0.3552;-2.7609;2.1512;0.6044;-2.991;0.265;-3.7564;1.4811;1.5236;-1.0053;0.6931;-0.054;0.2258;3.8197;1.7888;-1.173;-1.1267;0.9961;-5.6621;-3.6358;3.4356;-1.854;0.7603;-7.3121;-0.6804;2.7667;3.7596;0.7551;-2.1326;1.6136;1.184;2.3062;-1.1718;-0.6557;-0.8325;0.2704;-0.4776;-1.3639;-6.6346;-10.2491;-3.8478;-9.1263;-3.1007;8.3999;-6.7632;9.6099
Addition;"StdCSect T P-Values";0.8375;0.001;0.2855;0.264;0.7821;0.0316;0.5131;0.0057;0.6784;0.6808;0.0266;0.0001;0.6732;0.7727;0.0001;0.7298;0.0201;0.057;0.559;0.0135;0.7964;0.0037;0.1694;0.1586;0.3385;0.504;0.958;0.8259;0.0034;0.1039;0.268;0.2862;0.3427;0.0002;0.0046;0.0064;0.0934;0.4646;0;0.5117;0.0199;0.0037;0.4676;0.0588;0.1377;0.2638;0.0438;0.2684;0.5268;0.4246;0.7923;0.6432;0.2025;0.0001;1.268E-6;0.0032;3.6501E-6;0.0112;7.6614E-6;0;2.2864E-6
Addition;"Rank Z";-0.0866;1.4311;-0.3951;-0.3271;0.1021;1.2698;-0.2479;0.6919;-0.1717;-0.3389;0.5772;1.3408;-0.2042;-0.1584;1.5583;-0.1502;-0.8029;0.3707;0.3056;-1.0234;-0.0437;-1.0063;0.6164;0.6534;-0.4381;0.3248;0;0.0607;1.1233;0.4477;-0.4114;-0.3959;0.2864;-1.8062;-1.4444;1.0041;-0.8169;0.2397;-2.0164;0.199;1.6057;1.4962;0.2538;-0.8665;0.5609;0.4847;0.899;-0.4055;-0.3374;-0.9116;0.1828;-0.1939;-0.5165;-2.1636;-2.3878;-1.4836;-2.4152;-1.4525;2.3841;-2.1762;2.484
Addition;"Rank Z P-Values";0.931;0.1524;0.6927;0.7436;0.9187;0.2042;0.8042;0.489;0.8637;0.7347;0.5638;0.18;0.8382;0.8742;0.1192;0.8806;0.4221;0.7108;0.7599;0.3061;0.9652;0.3143;0.5376;0.5135;0.6613;0.7453;1;0.9516;0.2613;0.6544;0.6808;0.6922;0.7746;0.0709;0.1486;0.3153;0.414;0.8105;0.0438;0.8422;0.1083;0.1346;0.7996;0.3862;0.5749;0.6279;0.3686;0.6851;0.7358;0.362;0.855;0.8463;0.6055;0.0305;0.0169;0.1379;0.0157;0.1464;0.0171;0.0295;0.013
Addition;"Generalized Rank T";-0.0782;1.7363;-0.6171;-0.4191;0.3634;1.3227;-0.3021;1.4758;-0.2385;-0.5086;1.0775;2.2012;-0.2963;-0.3214;2.2856;-0.274;-1.3648;1.0014;0.289;-1.3526;-0.0037;-1.6447;0.8615;0.9323;-0.658;0.4175;-0.0056;0.1473;1.5419;0.7118;-0.438;-0.5963;0.3635;-2.1325;-1.4771;1.4125;-0.8253;0.3207;-2.2276;-0.0968;1.5288;1.5581;0.3262;-1.035;0.7383;0.6097;1.0353;-0.4586;-0.4528;-0.8477;0.2759;-0.2143;-0.5742;-2.1337;-2.4929;-1.5648;-2.3912;-1.3409;2.3723;-2.1879;2.5137
Addition;"Generalized Rank T P-Values";0.9377;0.0837;0.5377;0.6755;0.7166;0.1872;0.7628;0.1413;0.8117;0.6115;0.2823;0.0286;0.7673;0.7482;0.0231;0.7843;0.1736;0.3176;0.7728;0.1774;0.997;0.1013;0.3898;0.3521;0.5111;0.6767;0.9955;0.883;0.1244;0.4772;0.6618;0.5515;0.7166;0.0339;0.1409;0.159;0.41;0.7487;0.0268;0.9229;0.1276;0.1205;0.7446;0.3017;0.461;0.5426;0.3015;0.647;0.6511;0.3974;0.7829;0.8305;0.5664;0.0338;0.0133;0.1189;0.0175;0.1812;0.0184;0.0296;0.0126
Addition;"Generalized Rank Z";-0.1748;3.87;-1.3774;-0.9363;0.8114;2.9503;-0.6741;3.2916;-0.5326;-1.136;2.4052;4.902;-0.6616;-0.7178;5.0892;-0.6117;-3.044;2.2346;0.645;-3.0169;-0.0083;-3.6702;1.9225;2.0806;-1.4689;0.9321;-0.0125;0.3287;3.4372;1.5896;-0.9779;-1.3316;0.8114;-4.7521;-3.2957;3.1501;-1.8434;0.7157;-4.9602;-0.2164;3.4081;3.4746;0.7282;-2.3095;1.6479;1.3607;2.3095;-1.0237;-1.0112;-1.8934;0.6159;-0.4785;-1.2817;-4.7521;-5.5469;-3.4913;-5.3222;-2.9919;5.2806;-4.8728;5.5927
Addition;"Generalized Rank Z P-Values";0.8613;0.0001;0.1684;0.3491;0.4171;0.0032;0.5002;0.001;0.5943;0.2559;0.0162;9.4888E-7;0.5082;0.4729;3.5956E-7;0.5407;0.0023;0.0254;0.5189;0.0026;0.9934;0.0002;0.0545;0.0375;0.1419;0.3513;0.99;0.7424;0.0006;0.1119;0.3281;0.183;0.4171;2.0127E-6;0.001;0.0016;0.0653;0.4742;7.0416E-7;0.8287;0.0007;0.0005;0.4665;0.0209;0.0994;0.1736;0.0209;0.306;0.3119;0.0583;0.538;0.6323;0.2;2.0127E-6;2.907E-8;0.0005;1.025E-7;0.0028;1.2874E-7;1.1001E-6;2.2354E-8
Addition;"Adjusted Patell Z";-0.0588;1.1635;-0.2061;-0.1812;0.0481;0.9989;-0.1084;0.4606;-0.0992;-0.1031;0.3966;0.9368;-0.0787;-0.0222;1.0488;-0.0309;-0.4509;0.2591;0.2574;-0.7273;0.038;-0.6344;0.4299;0.4213;-0.2163;0.2239;-0.017;0.0609;0.8139;0.3317;-0.4999;-0.227;0.2797;-1.6687;-1.6286;0.7491;-0.8333;0.2137;-2.2785;-0.6338;1.3194;1.4814;0.2007;-0.6052;0.4007;0.3683;0.7382;-0.2617;-0.1512;-0.4004;0.0892;-0.1405;-0.5121;-3.486;-3.6848;-1.4745;-5.1657;-1.9957;5.3043;-3.2664;5.1711
Addition;"Adjusted Patell Z P-Values";0.9531;0.2446;0.8367;0.8562;0.9616;0.3178;0.9137;0.6451;0.921;0.9179;0.6917;0.3489;0.9373;0.9823;0.2943;0.9754;0.652;0.7956;0.7968;0.467;0.9697;0.5258;0.6673;0.6735;0.8288;0.8228;0.9864;0.9514;0.4157;0.7401;0.6172;0.8204;0.7797;0.0952;0.1034;0.4538;0.4047;0.8308;0.0227;0.5262;0.1871;0.1385;0.8409;0.5451;0.6886;0.7126;0.4604;0.7935;0.8798;0.6888;0.9289;0.8883;0.6086;0.0005;0.0002;0.1403;2.3953E-7;0.046;1.1313E-7;0.0011;2.3278E-7
Addition;"Adjusted StdCSect T";-0.0676;1.4745;-0.3622;-0.3798;0.0912;0.8015;-0.2176;1.1258;-0.1371;-0.136;0.8335;2.1445;-0.1394;-0.0953;2.1522;-0.114;-0.8861;0.6904;0.194;-0.96;0.0851;-1.2056;0.4753;0.489;-0.3226;0.2224;-0.0173;0.0725;1.2259;0.5741;-0.3765;-0.3616;0.3197;-1.8172;-1.1669;1.1027;-0.5951;0.244;-2.3468;-0.2184;0.888;1.2066;0.2424;-0.6844;0.5179;0.38;0.7402;-0.3761;-0.2104;-0.2672;0.0868;-0.1533;-0.4377;-2.1294;-3.2894;-1.2349;-2.9291;-0.9952;2.6959;-2.1706;3.0843
Addition;"Adjusted StdCSect T P-Values";0.9475;0.1711;0.7248;0.712;0.9291;0.4415;0.8321;0.2865;0.8937;0.8945;0.424;0.0576;0.8919;0.926;0.0569;0.9115;0.3964;0.5056;0.8501;0.3597;0.9339;0.2557;0.6448;0.6354;0.7536;0.8284;0.9865;0.9437;0.2483;0.5786;0.7144;0.7252;0.7558;0.0992;0.2703;0.296;0.565;0.8121;0.0409;0.8315;0.3954;0.2553;0.8134;0.5092;0.6158;0.7119;0.4762;0.7147;0.8375;0.7948;0.9326;0.8812;0.6709;0.0591;0.0082;0.2451;0.0151;0.3431;0.0225;0.0551;0.0116
Addition;"Skewness-Corrected T";-0.7458;4.704;-0.5428;-1.3631;0.4463;1.8643;-0.7771;4.4233;-0.0379;-0.735;3.109;3.1634;-0.1987;0.2438;9.2054;-0.8258;-1.0848;1.7725;0.5959;-2.0963;0.4234;-6.0285;0.7975;1.1533;-1.1141;0.7028;0.1354;-0.3548;2.5644;1.727;-1.2635;-1.1526;1.2236;-7.4564;-3.5569;3.842;-2.3607;0.8644;-4.3805;-0.9279;1.387;4.8329;0.6776;-1.867;1.4545;1.1556;2.188;-1.3503;-0.9878;-0.0392;0.3473;-0.3727;-1.067;-4.5815;-13.099;-4.0887;-4.3473;-3.052;2.4213;-3.7119;12.3734
Addition;"Skewness-Corrected T P-Values";0.4729;0.0008;0.5992;0.2027;0.6649;0.0919;0.4551;0.0013;0.9705;0.4792;0.0111;0.0101;0.8465;0.8123;3.3768E-6;0.4282;0.3035;0.1067;0.5645;0.0625;0.681;0.0001;0.4437;0.2756;0.2913;0.4982;0.895;0.7301;0.0282;0.1149;0.2351;0.2759;0.2491;0;0.0052;0.0033;0.0399;0.4076;0.0014;0.3753;0.1956;0.0007;0.5134;0.0915;0.1765;0.2747;0.0535;0.2067;0.3466;0.9695;0.7356;0.7172;0.3111;0.001;1.2763E-7;0.0022;0.0014;0.0122;0.036;0.004;2.1889E-7
Addition;"CDA T";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Addition;"CDA T P-Values";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Addition;Wilcoxon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Addition;"Wilcoxon P-Values";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
