"Event ID";Window;"CAR value";"BHAR value";"CAR t-value";"CAR p-value";"Permutation Test p-value"
1;"(-30, 30)";-0.1825;-0.1711;-1.7569;0.0802;
2;"(-30, 30)";-0.0121;-0.0182;-0.1597;0.8732;
3;"(-30, 30)";0.0117;0.0056;0.1646;0.8694;
4;"(-30, 30)";0.0137;0.0054;0.1381;0.8903;
5;"(-30, 30)";-0.1083;-0.1131;-1.3082;0.192;
6;"(-30, 30)";-0.105;-0.107;-1.0422;0.2984;
7;"(-30, 30)";0.0151;0.0112;0.1993;0.8422;
8;"(-30, 30)";-0.0396;-0.0456;-0.4971;0.6196;
9;"(-30, 30)";-0.1111;-0.1153;-1.5983;0.1112;
10;"(-30, 30)";0.1108;0.1089;0.7752;0.4389;
11;"(-30, 30)";-0.1992;-0.1982;-2.429;0.0159;
